機体の重量と慣性モーメント, , , , , , 
mass, 100, -, -, [kg] : 重量, , 
centerOfMass, 0, -0.203, 0, [m] : 重心位置(+x:前 +y:上 +z:左), , 
inertiaTensor, 1396.421, 1441.085, 51.491, [kg*m^2] : 慣性モーメント(Ixx Izz Iyy), , 
inertiaTensorRotation, 351.481, -, -, [deg] : 慣性モーメントの回転, , 
massAircraft, 0, -, -, [kg] : 空虚重量, , 
centerOfMassAircraft, 0, -, -, [m] : 機体のみでの重心位置(+x:前のみ), , 
, , , , , , 
巡航時, , , , 地面効果, , 
Airspeed0, 9.8, [m/s] : Magnitude of ground speed, , CGEMIN, 0.25, [-] : Minimum Ground Effect Coefficient
alpha0, 0, [deg] : Angle of attack, , , , 
CDp0, 0.014, [-] : Parasitic drag, , 安定微係数, , 
Cmw0, -0.1257, [-] : Pitching momentum, , Cyb, -0.004278, [1/deg]
CLMAX, 1.6, [-] : Maximum lift coefficient, , Cyp, -0.591095, [1/rad]
, , , , Cyr, 0.170201, [1/rad]
主翼, , , , Cydr, 0.001295, [1/deg]
Sw, 20.462, [m^2] : Wing area of wing, , Clb, -0.005158, [1/deg]
bw, 24.0898, [m] : Wing span, , Clp, -1.076598, [1/rad]
cMAC, 0.8643, [m] : Mean aerodynamic chord, , Clr, 0.259924, [1/rad]
aw, 0.1024, [1/deg] : Wing Lift Slope, , Cldr, 1.3E-05, [1/deg]
hw, 0.08909, [m] : Length between Wing a.c. and c.g., , Cnb, -0.000427, [1/deg]
ew, 0.97, [-] : Wing efficiency, , Cnp, -0.129588, [1/rad]
AR, 28.36079, [-] : Aspect Ratio, , Cnr, -0.006558, [1/rad]
, , , , Cndr, -0.0002, [1/deg]
水平尾翼, , , , , , 
Downwash, True, Conventional Tail: True / T-Tail: False, , 離陸, , 
St, 1.876, [m^2] : Wing area of tail, , YL, 0, [m] : 機体中心から翼持ち棒までの長さ
at, 0.07203, [1/deg] : Tail Lift Slope, , , , 
lt, 3.19, [m] : Length between Tail a.c. and c.g., , , , 
deMAX, 5, [deg] : Maximum elevator angle, , , , 
tau, 1, [-] : Control surface angle of attack effectiveness, , , , 
VH, 0.3383849, [-] : Tail Volume, , , , 
, , , , , , 
垂直尾翼, , , , , , 
drMAX, 15, [deg] : Maximum rudder angle, , , , 
